Rule,Confidence
"62, 4, 55, 59 => 69",0.9632899628252788
"62, 53, 59, 51 => 69",0.9610091743119268
"62, 4, 59, 51, 79 => 69",0.96011396011396
"62, 4, 59, 51, 81 => 69",0.9590395480225988
"62, 4, 59, 51 => 69",0.9581218274111676
"62, 4, 76, 69, 79 => 59",0.955399061032864
"4, 55, 51 => 69",0.9548802946593002
"4, 62, 53 => 69",0.95426971535231
"18, 62, 4, 59 => 69",0.9542483660130718
"62, 76, 69, 81, 55 => 59",0.9542236904200094
"18, 62, 59, 51 => 69",0.9534679543459176
"62, 59, 51, 76, 79 => 69",0.9530907496711968
"4, 55, 59, 79 => 69",0.9530450953045096
"62, 55, 60, 76 => 59",0.952891791044776
"62, 4, 51, 69, 79 => 59",0.9528746465598492
"62, 48, 59, 51, 76 => 69",0.95246717971933
"53, 48, 59, 51 => 69",0.9523809523809524
"62, 4, 59, 76, 79 => 69",0.9522695367337388
"62, 51, 76, 69, 79 => 59",0.9522558037669732
"51, 4, 59, 76 => 69",0.9522522522522522
