Rule,Confidence
51 => 69,0.7357774968394437
51 => 48,0.7345132743362832
"81, 69 => 79",0.7299934938191281
"48, 69 => 79",0.7155669442664958
59 => 79,0.7152524726704842
51 => 81,0.7130214917825538
51 => 79,0.7123893805309734
"79, 69 => 81",0.7096774193548387
66 => 81,0.7077509529860229
"69, 79 => 48",0.7065148640101201
"81, 60 => 79",0.6859226023555803
"48, 79 => 81",0.6798349056603773
59 => 81,0.6751691827173347
"81, 48 => 79",0.6750585480093677
62 => 81,0.6660395108184383
62 => 48,0.6603951081843837
"48, 79 => 69",0.6586084905660377
"60, 79 => 81",0.6491507430997876
62 => 79,0.6462841015992474
"81, 79 => 60",0.6457233368532207
