Rule,Confidence
"69, 79 => 48",0.8127772848269743
66 => 48,0.7965403624382208
62 => 48,0.7472972972972972
59 => 79,0.7409638554216867
"81, 60 => 79",0.7372372372372372
"48, 69 => 79",0.7345629510825982
59 => 48,0.7248995983935743
"60, 79 => 48",0.7216642754662841
69 => 48,0.7212261422787739
"48, 60 => 79",0.7201145311381533
59 => 60,0.7188755020080322
41 => 48,0.7157320872274143
"81, 79 => 48",0.7152173913043478
"81, 79 => 60",0.7115942028985507
"81, 60 => 48",0.707957957957958
"60, 79 => 81",0.7044476327116211
63 => 48,0.695739014647137
62 => 79,0.6810810810810811
59 => 81,0.6800535475234271
"48, 79 => 60",0.6788124156545209
