Rule,Confidence
59 => 60,0.7188755020080322
59 => 69,0.6405622489959839
62 => 79,0.6810810810810811
63 => 81,0.6604527296937416
47 => 79,0.6036474164133738
62 => 48,0.7472972972972972
66 => 48,0.7965403624382208
69 => 48,0.7212261422787739
76 => 48,0.6407608695652174
62 => 69,0.6614864864864864
62 => 60,0.647972972972973
47 => 48,0.6583586626139818
76 => 81,0.6184782608695651
69 => 60,0.6402544823597456
59 => 79,0.7409638554216867
69 => 81,0.6437246963562754
63 => 48,0.695739014647137
62 => 81,0.6695945945945946
63 => 79,0.6218375499334221
41 => 48,0.7157320872274143
59 => 48,0.7248995983935743
76 => 79,0.6124999999999999
59 => 81,0.6800535475234271
59 => 76,0.6178045515394913
69 => 79,0.6518218623481782
"81, 48 => 60",0.6445659603554341
"81, 60 => 48",0.707957957957958
"48, 60 => 81",0.6750178954903364
"81, 48 => 79",0.6746411483253589
"81, 79 => 48",0.7152173913043478
"48, 79 => 81",0.6659919028340081
"81, 60 => 79",0.7372372372372372
"81, 79 => 60",0.7115942028985507
"60, 79 => 81",0.7044476327116211
"48, 60 => 79",0.7201145311381533
"48, 79 => 60",0.6788124156545209
"60, 79 => 48",0.7216642754662841
"48, 79 => 69",0.6180836707152496
"69, 79 => 48",0.8127772848269743
"48, 69 => 79",0.7345629510825982
