Rule,Confidence
61 => 62,0.7217561521252797
62 => 61,0.40208755257828327
54 => 55,0.5139563106796116
55 => 54,0.515625
60 => 53,0.3603769497400347
53 => 60,0.74881836596894
4 => 69,0.7691834222404595
69 => 4,0.4964905310554893
62 => 74,0.5458794204704782
74 => 62,0.4058843970809684
62 => 55,0.5354416575790621
55 => 62,0.6974431818181819
59 => 38,0.3901172083111348
38 => 59,0.7794039382650345
62 => 33,0.36672378875214207
33 => 62,0.7667752442996743
59 => 74,0.5422216302610549
74 => 59,0.4715626085949265
4 => 18,0.5951990151826015
18 => 4,0.5626454615981381
4 => 36,0.4409109560935577
36 => 4,0.6203810623556582
36 => 47,0.5822748267898382
36 => 18,0.60594688221709
18 => 36,0.40709852598913887
21 => 79,0.7524613220815752
66 => 36,0.5660228616476153
36 => 66,0.8290993071593533
61 => 47,0.5886465324384788
47 => 61,0.3117594786729858
74 => 55,0.3248001853353411
55 => 74,0.5689935064935064
62 => 57,0.40099704003738895
57 => 62,0.7599645704162976
66 => 63,0.6143082380764683
63 => 66,0.4935085497150095
54 => 74,0.5293284789644013
74 => 54,0.30313911734043786
61 => 81,0.7955816554809843
51 => 69,0.793827849042573
69 => 51,0.5654880148324726
69 => 48,0.6499801350814461
48 => 69,0.5986095865349432
21 => 48,0.7436708860759493
70 => 60,0.7735403307458657
51 => 58,0.37999628183677264
58 => 51,0.6088769734882334
70 => 48,0.7283158960512994
13 => 81,0.8669138854552947
69 => 41,0.388160508541915
41 => 69,0.7707073363134368
81 => 55,0.3412945041285625
55 => 81,0.7800324675324675
79 => 73,0.38896189224704336
73 => 79,0.6198952879581151
76 => 70,0.3184466019417475
70 => 76,0.7195410057374283
48 => 41,0.3213806561775826
41 => 48,0.6928740468051539
74 => 18,0.3249160199235492
18 => 74,0.5440263770364623
57 => 81,0.8139946855624447
61 => 63,0.6146532438478747
63 => 61,0.3480050664977834
60 => 38,0.3047010398613518
38 => 60,0.7485364555614687
79 => 54,0.392137538326763
54 => 79,0.7243122977346278
79 => 38,0.3209592641261498
38 => 79,0.7799361362426822
53 => 48,0.6889489083952285
48 => 53,0.3733382119770704
81 => 47,0.4170292106898694
47 => 81,0.6956457345971564
81 => 76,0.4622214330107431
76 => 81,0.7775952203136668
4 => 75,0.4969224456298728
75 => 4,0.48761828065230517
75 => 18,0.48459834910408695
18 => 75,0.4668347556245151
61 => 69,0.7841163310961968
69 => 61,0.3713415441663356
63 => 75,0.45503483217226093
75 => 63,0.5786188846386149
76 => 53,0.4349514563106796
53 => 76,0.6554130092279992
58 => 47,0.6178135239797439
47 => 58,0.3071682464454977
81 => 48,0.4868152357276036
48 => 81,0.6687400902549091
60 => 41,0.30155979202772965
41 => 60,0.7320536418616881
21 => 81,0.7950070323488044
55 => 47,0.6266233766233766
47 => 55,0.457345971563981
62 => 70,0.3277769122916342
70 => 62,0.7100911238609517
61 => 51,0.6616331096196868
51 => 61,0.43985870979736014
74 => 48,0.4900961427082127
48 => 74,0.5160385412855226
41 => 18,0.5564028398632659
18 => 41,0.41039565554693563
59 => 73,0.43926478423015447
