Itemset,Support
4,0.1381507098653076
51,0.14397524572260648
82,0.1383327266108482
66,0.14324717874044413
53,0.11184929013469239
54,0.18319985438660358
73,0.22187841281397888
47,0.1510738987986895
48,0.3080633418274481
74,0.36093920640698945
62,0.1934838005096469
84,0.11967601019293775
63,0.20695303967965054
69,0.230251183108846
76,0.21559883509282854
41,0.18984346559883508
59,0.17482708409173645
75,0.1383327266108482
60,0.3313614852566436
55,0.10338551146705496
81,0.33427375318529307
38,0.11266836548962504
79,0.3226246814706953
58,0.11203130688023298
"60, 59",0.11285038223516564
"48, 73",0.11194029850746269
"81, 48",0.15544230069166362
"59, 69",0.11266836548962504
"54, 81",0.10711685475063706
"74, 73",0.12258827812158718
"81, 74",0.13669457590098288
"51, 69",0.10593374590462322
"62, 79",0.12504550418638516
"41, 69",0.10975609756097561
"63, 81",0.1278667637422643
"62, 59",0.1010192937750273
"81, 73",0.11275937386239535
"62, 48",0.12777575536949398
"76, 69",0.11740080087368038
"60, 76",0.1257735711685475
"66, 81",0.10138332726610848
"41, 60",0.10238441936658173
"81, 79",0.17236985802693847
"81, 51",0.10265744448489261
"63, 62",0.10147433563887878
"54, 79",0.11230433199854387
"48, 69",0.1420640698944303
"74, 60",0.1452493629413906
"62, 76",0.1065708045140153
"48, 76",0.1241354204586822
"51, 79",0.10256643611212231
"63, 60",0.11840189297415363
"63, 69",0.10675282125955587
"62, 69",0.1243174372042228
"62, 60",0.11576265016381507
"41, 79",0.10748088824171824
"79, 73",0.11585365853658537
"74, 69",0.11776483436476155
"48, 60",0.1471605387695668
"48, 74",0.12977793957044048
"81, 76",0.1328722242446305
"74, 76",0.10111030214779759
"60, 69",0.136421550782672
"59, 79",0.12504550418638516
"81, 69",0.13987986894794321
"60, 73",0.11212231525300327
"63, 48",0.1188569348380051
"48, 79",0.1543502002184201
"81, 41",0.11012013105205679
"81, 62",0.12886785584273752
"63, 79",0.12267928649435748
"41, 48",0.11012013105205679
"81, 60",0.16226792864943576
"69, 73",0.10456862031306881
"48, 51",0.10575172915908264
"48, 59",0.11048416454313797
"76, 79",0.13496541681834728
"74, 79",0.1436112122315253
"81, 59",0.11803785948307244
"59, 76",0.10702584637786676
"79, 69",0.14388423734983619
"60, 79",0.17145977429923553
"54, 48",0.10247542773935202
"81, 48, 79",0.10493265380414998
"81, 60, 79",0.11130323989807062
"81, 69, 79",0.10211139424827084
"79, 48, 69",0.10165635238441936
