Rule,Confidence
59 => 60,0.6454971369078605
59 => 69,0.6444560124934929
51 => 69,0.7357774968394437
62 => 79,0.6462841015992474
63 => 81,0.617854001759015
62 => 48,0.6603951081843837
66 => 81,0.7077509529860229
51 => 81,0.7130214917825538
54 => 79,0.6130153999006458
69 => 48,0.61699604743083
51 => 79,0.7123893805309734
62 => 69,0.6425211665098777
76 => 81,0.6162937948501477
59 => 79,0.7152524726704842
69 => 81,0.607509881422925
62 => 81,0.6660395108184383
51 => 48,0.7345132743362832
59 => 48,0.6319625195210827
76 => 79,0.6260025327142253
59 => 81,0.6751691827173347
59 => 76,0.6121811556480999
69 => 79,0.624901185770751
"81, 48 => 79",0.6750585480093677
"81, 79 => 48",0.6087645195353749
"48, 79 => 81",0.6798349056603773
"81, 60 => 79",0.6859226023555803
"81, 79 => 60",0.6457233368532207
"60, 79 => 81",0.6491507430997876
"81, 69 => 79",0.7299934938191281
"79, 69 => 81",0.7096774193548387
"48, 79 => 69",0.6586084905660377
"69, 79 => 48",0.7065148640101201
"48, 69 => 79",0.7155669442664958
