Itemset,Support
20,0.10058443555828976
40,0.13011381113503537
4,0.2346970163026761
51,0.30144570901261153
82,0.1762534604737004
66,0.30113811135035373
53,0.22516148877268533
54,0.3534297139341741
57,0.18148262073208243
73,0.14610888957243925
33,0.15441402645339897
5,0.13872654567825285
47,0.48262073208243617
48,0.5715164564749308
74,0.25284527837588433
62,0.3171331897877576
43,0.12919101814826206
61,0.2042448477391572
56,0.15933558904952322
70,0.17686865579821592
63,0.32605352199323284
84,0.25622885266071976
69,0.34112580744386345
21,0.18517379267917564
76,0.3857274684712396
41,0.1910181482620732
34,0.11258074438634266
59,0.3961857889880037
75,0.28791141187326974
60,0.4349430944324823
18,0.19378652722239312
55,0.2848354352506921
67,0.14334051061211936
45,0.11381113503537373
9,0.1510304521685635
81,0.42694555521378036
65,0.1058135958166718
38,0.2531528760381421
79,0.4727776068901876
13,0.11719470932020917
58,0.21039680098431252
36,0.25038449707782223
"36, 55",0.1670255306059674
"36, 61",0.13595816671793295
"66, 63",0.17594586281144264
"38, 58",0.118732697631498
"81, 53",0.16394955398338973
"9, 51",0.11350353737311597
"54, 79",0.27222393109812365
"9, 69",0.12734543217471547
"59, 73",0.10366041218086743
"41, 38",0.11719470932020917
"38, 70",0.10304521685635189
"21, 48",0.15995078437403876
"38, 79",0.21039680098431252
"36, 76",0.18578898800369117
"63, 69",0.18701937865272225
"62, 69",0.23900338357428483
"66, 9",0.11811750230698247
"48, 55",0.2583820362965241
"67, 48",0.12488465087665333
"48, 9",0.14118732697631498
"51, 82",0.11565672100892033
"54, 60",0.2476161181175023
"40, 76",0.10673638880344509
"66, 69",0.237465395262996
"81, 21",0.12949861581051983
"5, 51",0.10304521685635189
"4, 60",0.16641033528145185
"76, 70",0.14026453398954167
"47, 58",0.17871424177176254
"4, 74",0.10089203322054753
"62, 79",0.24976930175330667
"41, 53",0.10519840049215626
"38, 76",0.1940941248846509
"36, 79",0.19963088280529068
"47, 82",0.13042140879729314
"75, 51",0.16364195632113196
"60, 51",0.2199323285143033
"84, 79",0.18886496462626884
